model,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
MobileNetV2,0.9981173276901245,0.9911218757472325,0.9849129643569454,0.9878880379359366,0.9980990009278634
VGG16,0.9968622326850891,0.9898913817253449,0.9839429082704786,0.9867824114718838,0.9968437410266157
ResNet50,0.9974898099899292,0.9709074448190841,0.9848417975467156,0.9771272962623127,0.9976002625235698
InceptionV3,0.9943520426750183,0.950948969904615,0.98268294663958,0.9621613131532519,0.994940869139878
EfficientNetB0,0.9924694299697876,0.9450354107756586,0.9821678321678321,0.9571534084485228,0.9932885472693537
